2024-11-29 22:31:21, 1, 4
WoodBlock, 877.57526, 179.25822, 70, 70, 2
WoodBlock, 629.35254, 340.78815, 70, 70, 2
WoodBlock, 823.628, 227.28906, 70, 70, 2
WoodBlock, 772.18195, 305.79727, 70, 70, 1

2024-11-29 22:35:22, 3, 12
StoneBlock, 650.33417, 165.01338, 70, 70, 3
StoneBlock, 789.72406, 165.01399, 70, 70, 3
GlassBlock, 677.38745, 225.02649, 50, 20, 1
GlassBlock, 757.1529, 225.0262, 50, 20, 1
StoneBlock, 816.73474, 225.02834, 50, 20, 3
StoneBlock, 620.6352, 225.02711, 50, 20, 3
StoneBlock, 716.9527, 285.0442, 70, 70, 3
GlassBlock, 787.1695, 285.04004, 70, 70, 1
GlassBlock, 646.89594, 285.04022, 70, 70, 1
StoneBlock, 814.72235, 345.05774, 50, 20, 3
StoneBlock, 623.5753, 345.05527, 50, 20, 3
GlassBlock, 722.20514, 409.7141, 70, 210, 1
